sample,unit_A,ifs_A,dnl_min,dnl_max,worst_code,inl_max,monotonic
137,2.575179575411765e-06,0.000661830988,-0.1332146226567209,0.06359805978270971,128,0.10204529155844949,True
138,2.5755738560000004e-06,0.000661879448,-0.180747236160806,0.06522602472014127,192,0.1511495820991812,True
139,2.573840859803922e-06,0.000661492987,-0.07849749491478564,0.2669217630838323,128,0.18208863452528407,True
140,2.5752715070588233e-06,0.000661954238,-0.1613517277381702,0.13384083658612878,64,0.15797057790616043,True
141,2.5738297788235295e-06,0.000661485751,-0.025584356574517964,0.09034871812029799,248,0.06785167755542455,True
142,2.5752247988627453e-06,0.000661758401,-0.17489300315126954,0.028308674710474824,128,0.1528636461126114,True
143,2.5739749499607843e-06,0.000661537326,-0.1356570894235365,0.05361204080147064,96,0.11322875975158166,True
144,2.578235162862745e-06,0.000662578428,-0.13966187725983414,0.04501057111039031,64,0.1028571368813283,True
145,2.5763382482352944e-06,0.000662045504,-0.14541035071461061,0.09535617147049091,224,0.14422601499553442,True
146,2.576234221529412e-06,0.000662061138,-0.03251576305810888,0.12653464337457,24,0.12181220963385556,True
147,2.574850805529412e-06,0.000661754576,-0.20997442040854397,0.07355229827837206,192,0.1738371598910968,True
148,2.5752565492941173e-06,0.000661949596,-0.12184593778826847,0.08825507142897981,120,0.14220667683878432,True
149,2.5731422778431374e-06,0.000661175547,-0.07302210976093337,0.1437316643317803,32,0.13973969003189382,True
150,2.574835079882353e-06,0.0006617843,-0.1961877418205208,0.053032880119039616,128,0.1614283293944801,True
151,2.5731613914509803e-06,0.000661256384,-0.06410106727040976,0.4125095347985479,128,0.23277001100737657,True
152,2.5765718095686278e-06,0.000662179788,-0.08958058483426079,0.10414698687411317,128,0.11997505234569253,True
153,2.575758239215686e-06,0.000661997519,-0.13529501096414787,0.03618109780859391,40,0.1165124937259962,True
154,2.5714328677254905e-06,0.000660929084,-0.0683641676716158,0.019825962759689064,64,0.050123844230031314,True
155,2.5759130308235293e-06,0.000662074934,-0.08037232947936146,0.11865810899633122,236,0.13247542139501972,True
156,2.576139158392157e-06,0.000662067802,-0.0527705026917048,0.1261720821831358,80,0.13213130408772558,True
157,2.574448030745098e-06,0.000661641794,-0.05798797604858785,0.1084053614296987,64,0.1137236955884974,True
158,2.575154284117647e-06,0.000661982801,-0.17688349273942594,0.044990980383952106,128,0.13966349574856138,True
159,2.576247788627451e-06,0.000662050392,-0.0634239413416503,0.07056666372507259,128,0.07181088562632695,True
160,2.575354071137255e-06,0.000661809835,-0.019381051986872788,0.08955503689668731,96,0.07677795655223008,True
161,2.5754995998823535e-06,0.000662007031,-0.04127494327206538,0.10397842815813374,64,0.09459143740022737,True
162,2.5759409641960785e-06,0.000662021148,-0.03548061289698068,0.12042241655207087,96,0.1444117075913765,True
163,2.5746698113333333e-06,0.000661630106,-0.0627893373440589,0.14317687924254208,120,0.17729226973390802,True
164,2.576851742039216e-06,0.000662217779,-0.07390946826010103,0.16342044483611273,96,0.12882566780772664,True
165,2.5741327216862746e-06,0.000661642378,-0.06395463617684505,0.23122866715427426,128,0.16498735273257084,True
166,2.5736551259215686e-06,0.000661409251,-0.13881546222853347,0.024087871546625284,192,0.1040502107595443,True
167,2.574257240431373e-06,0.000661602329,-0.19563322286587304,0.057232337644677944,128,0.12512710010199452,True
168,2.575103482980392e-06,0.000661787514,-0.06049290213382186,0.18112729065156152,140,0.18063055048487656,True
169,2.5752909876862743e-06,0.000661810791,-0.06541435064689316,0.06522020739280965,144,0.10226975731016062,True
170,2.5725953591764708e-06,0.000661144614,-0.08364562985351887,0.263753348696367,128,0.18597227250291173,True
171,2.5763293385882353e-06,0.00066210251,-0.2875184967594864,0.03392689750591282,128,0.17699692211866272,True
172,2.574221734745098e-06,0.000661468635,-0.18578614588243458,0.03901849786259404,64,0.14132330485372224,True
173,2.5737662584705882e-06,0.000661541295,-0.043488898070000115,0.07987583987197677,204,0.08320064154139954,True
174,2.5764722260784315e-06,0.000662144968,-0.0456679582599514,0.11231162167892572,112,0.09670630678937168,True
175,2.5745546136862744e-06,0.000661610229,-0.06358327487636439,0.057949280050464846,236,0.09827785382952081,True
176,2.5767861114117645e-06,0.000662268851,-0.10611944476134783,0.11651641836261972,40,0.12012092648591115,True
177,2.573163800509804e-06,0.000661400095,-0.08140515596725628,0.18565440699717262,224,0.13257200059880925,True
178,2.576268087254902e-06,0.000662068162,-0.0797009784310424,0.10434974297709676,194,0.13299755432946342,True
179,2.5773752808235293e-06,0.000662406789,-0.10871582532365665,0.17516374993409167,64,0.14374453711201382,True
180,2.577529705372549e-06,0.000662186117,-0.2611654499924603,0.05401889038844332,64,0.20853066063766404,True
181,2.5759925880784316e-06,0.000662125115,-0.20884943169799475,0.16485078951191734,128,0.22338865018493959,True
182,2.575183928e-06,0.000661836039,-0.11572762813547666,0.06373528128046835,196,0.12302812104223577,True
183,2.575871316509804e-06,0.000662055526,-0.18361294427963548,0.0927494638256694,128,0.15021670764007844,True
184,2.5737000776862748e-06,0.00066151355,-0.03205815564975589,0.09671831013718579,128,0.08465480444799736,True
185,2.5749122384313725e-06,0.000661665223,-0.07129650311623925,0.07048968848708626,192,0.07514220875312104,True
186,2.5755616156862743e-06,0.00066202321,-0.20193794336686355,0.048488214591001944,96,0.11967702541607902,True
187,2.5770596017254902e-06,0.000662381883,-0.13751082880979038,0.03544209773551543,64,0.09098275727821878,True
188,2.575933545568628e-06,0.000662043007,-0.22161113067169913,0.02214865151686829,64,0.16052799581074526,True
189,2.5731045418039213e-06,0.000661274729,-0.15965987200658271,0.07882596874744663,128,0.1367732132290659,True
190,2.57499542917647e-06,0.00066180515,-0.10973473039011772,0.11519071741357778,64,0.1332592468481361,True
191,2.5743438085882353e-06,0.000661679266,-0.07886895600769905,0.12911763778515395,128,0.11366393526140815,True
192,2.5754081920784314e-06,0.000661771503,-0.09644498019477898,0.16623337971759877,112,0.12680882518749523,True
193,2.5748932729019603e-06,0.000661604411,-0.09569572280727612,0.053115105211289926,192,0.0956549503883087,True
194,2.5755231736862744e-06,0.000662025211,-0.13347857910912742,0.09942012129025235,48,0.1413853488079275,True
195,2.5761909209411765e-06,0.000662088782,-0.046631606362987466,0.28009883630643784,128,0.20072290414920368,True
196,2.573273497137255e-06,0.000661312809,-0.10610861901814961,0.11865878353096404,128,0.1545942184458106,True
197,2.5740292945490197e-06,0.000661622246,-0.06820096994263725,0.09652753602191577,244,0.10785739376175983,True
198,2.5761939395686273e-06,0.000662149681,-0.12233626309259205,0.08229701078593754,224,0.12083736513160645,True
199,2.5755170572941175e-06,0.000661847339,-0.056855790133263584,0.03744993357071125,192,0.049479797369892664,True
